일자,기관_순매수_원,개인_순매수_원,외국인_순매수_원,기타법인_순매수_원
2025-09-19,-335726472774,533232416562,-308043114005,110537170217
2025-09-22,267154835816,-768202556164,565291519475,-64243799127
2025-09-23,-136325868569,-246208736001,341364655716,41169948854
2025-09-24,212404698232,1703608564,-248646171083,34537864287
2025-09-25,270684199746,-541056676748,219607190258,50765286744
2025-09-26,-489151538005,1099714578308,-570723467875,-39839572428
2025-09-29,301427855442,-747978242746,447158464866,-608077562
2025-09-30,-49701444650,-26459201148,23010842639,53149803159
2025-10-01,220785734133,-1081215968692,845479306657,14950927902
2025-10-02,-67494864641,-3071501688403,3126495557624,12500995420
2025-10-10,-593625744034,-502205481964,1059155437264,36675788734
2025-10-13,-447053529181,1164887446708,-822045849472,104211931945
2025-10-14,-629949724197,2032610895,558110342895,69806770407
2025-10-15,751244684647,-970634907511,163126960151,56263262713
2025-10-16,781334358462,-1393575835595,653284978657,-41043501524
2025-10-17,-168824894252,-312231103199,443789523706,37266473745
2025-10-20,642782201892,-410871483240,-249966017836,18055299184
2025-10-21,211597377289,-155647822487,-12356803635,-43592751167
2025-10-22,763258177231,-76940439605,-703276232668,16958495042
2025-10-23,-397163655872,750469443686,-407144363935,53838576121
2025-10-24,1405424779261,-2000473430059,575575156471,19473494327
2025-10-27,234313115221,-796853163819,647078464393,-84538415795
2025-10-28,92515404843,1572810962804,-1637906155102,-27420212545
2025-10-29,519641066853,-358345186284,-106609485622,-54686394947
2025-10-30,-837908856533,936318780063,-117263096807,18853173277
2025-10-31,-1106353204612,-201763499630,1321168942225,-13052237983
2025-11-03,184063777621,625562748965,-794896105270,-14730421316
2025-11-04,-498871597317,2700876159952,-2228203062377,26198499742
